Example,Time (days),Filter,Magnitude,Uncertainty
3,6.057142857142857,ztfg,27.474945,0.33454117
3,6.057142857142857,ztfr,25.385387,0.33454385
3,6.057142857142857,ztfi,24.519579,0.35042664
3,6.255714285714285,ztfg,27.90646,0.32108796
3,6.255714285714285,ztfr,25.700924,0.32023266
3,6.255714285714285,ztfi,24.582651,0.3468784
3,6.454285714285714,ztfg,27.785723,0.32930675
3,6.454285714285714,ztfr,25.719528,0.33504897
3,6.454285714285714,ztfi,24.542759,0.3576041
3,6.652857142857142,ztfg,27.886642,0.32931674
3,6.652857142857142,ztfr,25.858376,0.33003014
3,6.652857142857142,ztfi,24.837502,0.3561563
3,6.8514285714285705,ztfg,28.411337,0.33312997
3,6.8514285714285705,ztfr,26.04234,0.32403746
3,6.8514285714285705,ztfi,24.743738,0.35678333
3,7.05,ztfg,28.290356,0.32269478
3,7.05,ztfr,26.44833,0.32047188
3,7.05,ztfi,24.998896,0.34984258
3,7.248571428571428,ztfg,28.595041,0.31392032
3,7.248571428571428,ztfr,26.17516,0.3364498
3,7.248571428571428,ztfi,24.872997,0.35769647
3,7.447142857142857,ztfg,28.49539,0.31386343
3,7.447142857142857,ztfr,26.31709,0.34101406
3,7.447142857142857,ztfi,25.332903,0.35011283
3,7.645714285714285,ztfg,28.66375,0.31284055
3,7.645714285714285,ztfr,26.37439,0.34219858
3,7.645714285714285,ztfi,25.250818,0.3479024
3,7.844285714285713,ztfg,28.961184,0.30561304
3,7.844285714285713,ztfr,26.378399,0.32866463
3,7.844285714285713,ztfi,25.175957,0.35158548
3,8.042857142857143,ztfg,29.07198,0.3102614
3,8.042857142857143,ztfr,26.710798,0.33307424
3,8.042857142857143,ztfi,25.018131,0.35733026
3,8.241428571428571,ztfg,29.29397,0.29453707
3,8.241428571428571,ztfr,26.78156,0.32079312
3,8.241428571428571,ztfi,25.562868,0.3557428
3,8.44,ztfg,29.271305,0.31301022
3,8.44,ztfr,27.281864,0.33135828
3,8.44,ztfi,25.545345,0.34050918
3,8.638571428571428,ztfg,29.323097,0.30482182
3,8.638571428571428,ztfr,27.012926,0.33391973
3,8.638571428571428,ztfi,25.723099,0.34634477
3,8.837142857142856,ztfg,29.293974,0.31521207
3,8.837142857142856,ztfr,27.175829,0.33395892
3,8.837142857142856,ztfi,25.653084,0.35611528
3,9.035714285714285,ztfg,29.492552,0.31255266
3,9.035714285714285,ztfr,27.031519,0.33916223
3,9.035714285714285,ztfi,25.801954,0.34411016
3,9.234285714285713,ztfg,29.760237,0.30236372
3,9.234285714285713,ztfr,27.082338,0.3349725
3,9.234285714285713,ztfi,25.609798,0.35218596
3,9.432857142857141,ztfg,30.266773,0.29040155
3,9.432857142857141,ztfr,27.531322,0.33043155
3,9.432857142857141,ztfi,25.701412,0.34552988
3,9.63142857142857,ztfg,30.218943,0.29258594
3,9.63142857142857,ztfr,27.47065,0.3421941
3,9.63142857142857,ztfi,25.864273,0.34691876
3,9.83,ztfg,30.143814,0.29593727
3,9.83,ztfr,27.508224,0.33820516
3,9.83,ztfi,26.095867,0.34824756
3,10.028571428571428,ztfg,30.248304,0.2997733
3,10.028571428571428,ztfr,27.50278,0.33176926
3,10.028571428571428,ztfi,26.117682,0.34442973
3,10.227142857142857,ztfg,30.54696,0.2844585
3,10.227142857142857,ztfr,27.759714,0.3377104
3,10.227142857142857,ztfi,25.843353,0.35844254
3,10.425714285714285,ztfg,30.657373,0.28512093
3,10.425714285714285,ztfr,27.710695,0.3205885
3,10.425714285714285,ztfi,26.218546,0.35376662
3,10.624285714285714,ztfg,30.930471,0.2847193
3,10.624285714285714,ztfr,27.85907,0.3341529
3,10.624285714285714,ztfi,26.387732,0.36277884
3,10.822857142857142,ztfg,31.061361,0.30044132
3,10.822857142857142,ztfr,28.227247,0.33276224
3,10.822857142857142,ztfi,26.385408,0.33890432
3,11.02142857142857,ztfg,31.093872,0.28244844
3,11.02142857142857,ztfr,27.897804,0.33817154
3,11.02142857142857,ztfi,26.427977,0.3533495
3,11.219999999999999,ztfg,30.937878,0.28856912
3,11.219999999999999,ztfr,28.072346,0.33676097
3,11.219999999999999,ztfi,26.59876,0.34556141
3,11.418571428571427,ztfg,31.320213,0.29142356
3,11.418571428571427,ztfr,28.255045,0.3452855
3,11.418571428571427,ztfi,26.49862,0.35412997
3,11.617142857142856,ztfg,31.35185,0.2903161
3,11.617142857142856,ztfr,28.290195,0.33178553
3,11.617142857142856,ztfi,26.59614,0.35210845
3,11.815714285714286,ztfg,31.663157,0.27804735
3,11.815714285714286,ztfr,28.18248,0.34350994
3,11.815714285714286,ztfi,26.77783,0.3525241
3,12.014285714285714,ztfg,31.622465,0.28162912
3,12.014285714285714,ztfr,28.538967,0.3309813
3,12.014285714285714,ztfi,26.921162,0.3440437
3,12.212857142857143,ztfg,31.64915,0.28972095
3,12.212857142857143,ztfr,28.381819,0.3326482
3,12.212857142857143,ztfi,27.008629,0.35465056
3,12.411428571428571,ztfg,31.610674,0.28759766
3,12.411428571428571,ztfr,28.588247,0.34869877
3,12.411428571428571,ztfi,26.821053,0.34703377
3,12.61,ztfg,31.796995,0.286882
3,12.61,ztfr,28.652643,0.33247107
3,12.61,ztfi,26.838774,0.3463566
3,12.808571428571428,ztfg,32.16213,0.27601936
3,12.808571428571428,ztfr,28.924307,0.3463295
3,12.808571428571428,ztfi,27.04633,0.3592365
3,13.007142857142856,ztfg,32.37828,0.2695208
3,13.007142857142856,ztfr,28.739174,0.34243354
3,13.007142857142856,ztfi,27.155321,0.35246265
3,13.205714285714285,ztfg,32.12172,0.28461313
3,13.205714285714285,ztfr,28.884249,0.34240708
3,13.205714285714285,ztfi,27.241474,0.3465531
3,13.404285714285713,ztfg,32.51757,0.27302647
3,13.404285714285713,ztfr,29.158504,0.34106982
3,13.404285714285713,ztfi,27.521765,0.35222286
3,13.602857142857141,ztfg,32.64834,0.27606094
3,13.602857142857141,ztfr,28.983534,0.34034824
3,13.602857142857141,ztfi,27.183733,0.36989838
3,13.80142857142857,ztfg,32.499126,0.2845336
3,13.80142857142857,ztfr,29.24773,0.3396595
3,13.80142857142857,ztfi,27.39717,0.3619837
3,14.0,ztfg,32.88732,0.26957768
3,14.0,ztfr,29.435553,0.33487272
3,14.0,ztfi,27.551863,0.35669193
4,0.1,ztfg,28.270424,0.28019285
4,0.1,ztfr,25.833166,0.25076222
4,0.1,ztfi,24.89287,0.21598253
4,0.2985714285714286,ztfg,23.323614,0.26612666
4,0.2985714285714286,ztfr,22.697226,0.27935797
4,0.2985714285714286,ztfi,22.636288,0.29132387
4,0.4971428571428571,ztfg,22.088285,0.2843405
4,0.4971428571428571,ztfr,21.99614,0.2995582
4,0.4971428571428571,ztfi,21.997976,0.3004528
4,0.6957142857142856,ztfg,21.927994,0.27465504
4,0.6957142857142856,ztfr,21.154135,0.31392467
4,0.6957142857142856,ztfi,21.661253,0.29657462
4,0.8942857142857142,ztfg,21.71034,0.27230015
4,0.8942857142857142,ztfr,21.305227,0.30882215
4,0.8942857142857142,ztfi,21.250195,0.29960456
4,1.092857142857143,ztfg,21.794315,0.25750944
4,1.092857142857143,ztfr,21.199772,0.31334466
4,1.092857142857143,ztfi,21.419596,0.2951336
4,1.2914285714285714,ztfg,22.149872,0.24810325
4,1.2914285714285714,ztfr,21.324697,0.31669843
4,1.2914285714285714,ztfi,21.439224,0.29208237
4,1.49,ztfg,22.52247,0.2496165
4,1.49,ztfr,21.442032,0.31408492
4,1.49,ztfi,21.46167,0.29652962
